Logo,"ID Name club","Nom Club","Nom comlet","Code pays"
,agovv_ned,AGOVV,"AGOVV Apeldoorn",ned
,azal_ned,"AZ Alkmaar","AZ Alkmaar",ned
,rksvachi29_ned,"Achilles '29","RKSV Achilles 1929",ned
,afca_ned,Ajax,"AFC Ajax",ned
,alcitfc_ned,"Almere City","Almere City FC",ned
,nac_ned,Breda,"NAC Breda",ned
,sccamb_ned,Cambuur,"SC Cambuur Leeuwarden",ned
,gra_ned,"De Graafschap","De Graafschap",ned
,fcdebo_ned,"Den Bosch","FC Den Bosch",ned
,adodh_ned,"Den Haag","ADO Den Haag",ned
,fcdor_ned,Dordrecht,"FC Dordrecht",ned
,fceind_ned,Eindhoven,"FC Eindhoven",ned
,fcemm_ned,Emmen,"FC Emmen",ned
,sce_ned,Excelsior,"SBV Excelsior",ned
,ossfc_ned,"FC Oss","Football Club Oss",ned
,fey_ned,Feyenoord,Feyenoord,ned
,fortsitt_ned,Fortuna,"Fortuna Sittard",ned
,goahea_ned,"Go Ahead Eagles","Go Ahead Eagles",ned
,fcgr_ned,Groningen,"FC Groningen",ned
,sche_ned,Heerenveen,"SC Heerenveen",ned
,helspo_ned,"Helmond Sport","Helmond Sport",ned
,ha_ned,Heracles,"Heracles Almelo",ned
,afcaj_ned,"Jong Ajax","Jong AFC Ajax",ned
,psvj_ned,"Jong PSV","Jong PSV Eindhoven",ned
,fctj_ned,"Jong Twente","Jong FC Twente",ned
,mvv_ned,MVV,"MVV Maastricht",ned
,nec_ned,NEC,"NEC Nijmegen",ned
,psv_ned,PSV,"PSV Eindhoven",ned
,rbc_ned,RBC,"RBC Roosendaal",ned
,rgc_ned,Roda,"Roda JC",ned
,sparo_ned,Sparta,"Sparta Rotterdam",ned
,sctelstar_ned,Telstar,"SC Telstar",ned
,fct_ned,Twente,"FC Twente",ned
,fcu_ned,Utrecht,"FC Utrecht",ned
,fcuj_ned,JongUtrecht,"Jong FC Utrecht",ned
,bvveen_ned,Veendam,"BV Veendam 1894",ned
,vvv_ned,Venlo,"VVV Venlo",ned
,bvv_ned,Vitesse,"BV Vitesse",ned
,fcvolndm_ned,Volendam,"FC Volendam",ned
,waarkc_ned,Waalwijk,"RKC Waalwijk",ned
,wii_ned,"Willem II","Willem II",ned
,rosbk_nor,Rosenborg,"Rosenborg BK",nor
,tromsoil_nor,Tromso,"Tromsø Idrettslag",nor
,lechpkks_pol,"Lech Poznań","KKS Lech Poznań",pol
,legwarskp_pol,"Legia Warszawa","KP Legia Warszawa",pol
,acaco_por,Académica,"A. Académica de Coimbra",por
,aroucafc_por,Arouca,"FC Arouca",por
,beimsc_por,Beira-Mar,"SC Beira-Mar",por
,belcf_por,Belenenses,"CF Os Belenenses",por
,benfsl_por,Benfica,"SL Benfica",por
,brasc_por,Braga,"SC Braga",por
,gdestp_por,Estoril,"GD Estoril Praia",por
,feircd_por,Feirense,"CD Feirense",por
,gvfc_por,"Gil Vicente","Gil Vicente FC",por
,vitsc_por,Guimarães,"Vitória Guimarães",por
,leiud_por,Leiria,"UD Leiria",por
,leixsc_por,Leixões,"Leixões SC",por
,marimf_por,Marítimo,"Marítimo da Madeira Futebol",por
,morefc_por,Moreirense,"Moreirense FC",por
,naccd_por,Nacional,"CD Nacional",por
,nav1ma_por,"Naval 1° Maio","A. Naval 1° Maio",por
,olhasc_por,Olhanense,"SC Olhanense",por
,pacfefc_por,"Paços de Ferreira","FC Paços de Ferreira",por
,fcp_por,Penafiel,"FC Penafiel",por
,bfc_por,Boavista,"Boavista FC",por
,portsc_por,Portimonense,"Portimonense SC",por
